model_name,prompt_type,task_category,bleu_score,rouge_l_score,accuracy_pct,response_time_ms,toxicity_score,bias_score,cost_per_1k_tokens
gpt-4,zero-shot,summarization,0.72,0.68,85.5,1250,0.02,0.15,0.03
gpt-4,few-shot,summarization,0.78,0.74,89.2,1420,0.01,0.12,0.03
gpt-4,cot,summarization,0.81,0.77,91.5,1850,0.01,0.10,0.03
claude-3-opus,zero-shot,summarization,0.75,0.71,87.2,980,0.01,0.08,0.015
claude-3-opus,few-shot,summarization,0.80,0.76,90.8,1120,0.01,0.06,0.015
claude-3-opus,cot,summarization,0.83,0.79,92.4,1450,0.00,0.05,0.015
gpt-3.5-turbo,zero-shot,summarization,0.65,0.62,79.3,450,0.04,0.22,0.002
gpt-3.5-turbo,few-shot,summarization,0.71,0.68,83.5,520,0.03,0.18,0.002
gpt-4,zero-shot,classification,0.85,0.82,92.4,1100,0.02,0.14,0.03
gpt-4,few-shot,classification,0.89,0.86,95.1,1280,0.01,0.11,0.03
claude-3-opus,zero-shot,classification,0.87,0.84,93.8,890,0.01,0.09,0.015
claude-3-opus,few-shot,classification,0.91,0.88,96.2,1050,0.01,0.07,0.015
gpt-3.5-turbo,zero-shot,classification,0.78,0.75,86.2,380,0.03,0.20,0.002
gpt-3.5-turbo,few-shot,classification,0.82,0.79,89.7,445,0.02,0.16,0.002
gpt-4,zero-shot,extraction,0.68,0.72,82.3,1350,0.01,0.13,0.03
gpt-4,few-shot,extraction,0.76,0.79,88.9,1520,0.01,0.10,0.03
claude-3-opus,zero-shot,extraction,0.71,0.75,85.1,1050,0.01,0.08,0.015
claude-3-opus,few-shot,extraction,0.79,0.82,91.2,1210,0.00,0.06,0.015
gpt-4,cot,reasoning,0.74,0.78,88.5,2100,0.01,0.11,0.03
claude-3-opus,cot,reasoning,0.77,0.81,90.8,1680,0.00,0.07,0.015
gpt-3.5-turbo,cot,reasoning,0.61,0.65,75.2,680,0.03,0.19,0.002
